date,Christian,Islam,Bhudism,Hindu
1945,1402700580,261520562,232475872,54100060
1950,1392960244,588242134,318023804,307282057
1955,1672004204,688144014,358768398,335112222
1960,1933935190,870246176,400878318,369257305
1965,2149427572,1029268114,425186768,406758867
1970,2353211352,1184684576,457605268,460511121
1975,2600233219,1327348696,520648568,501099677
1980,2784157218,1294278954,596804232,551871250
1985,3013838102,1494257182,675341378,616544440
1990,3390162438,1999360636,750495510,679051308
1995,3570829939,2309981212,823910660,739943989
2000,3781846367,2628096480,776512112,895658697
2005,3981462931,3052908692,948234242,969230511
2010,4223825906,3210965527,970493874,1141119148
